region,planting_code,planting_label,scenario,cultivar_id,cultivar_label,n_years,n_sites,yield_mean_kg_ha,yield_sd_across_years,irrigation_mean_mm,seasonal_precip_mean_mm,best_yield_mean_kg_ha,yield_penalty_percent
Northwest,APR10,Apr 10,Rainfed,990002,Medium Season,38,499,2627.6721864782194,1488.0842210350324,0.0,373.890517877861,2947.381394367683,10.84722895043084
Northwest,APR10,Apr 10,Rainfed,990003,Short Season,38,499,2363.3258622508174,1235.1345762821459,0.0,323.06803079843894,2406.7317793481698,1.8035211679927314
Northwest,APR10,Apr 10,Rainfed,990004,V. Short Season,38,499,1898.6969728931547,634.157592140781,0.0,280.885560594874,2373.990876489822,20.020881642958788
Northwest,APR20,Apr 20,Irrigated,990001,Long Season,38,499,6973.549150933446,1236.8730716052255,384.29886087965406,437.4595506803079,7927.752715958231,12.036242794304291
Northwest,APR20,Apr 20,Irrigated,990002,Medium Season,38,499,7974.5291108532865,1557.1101417449354,292.20150827971736,392.5914987870478,8734.444626094293,8.700215614977362
Northwest,APR20,Apr 20,Irrigated,990003,Short Season,38,499,4701.179675139753,894.0652509092929,216.16390676089023,342.7890517877861,5137.421949161481,8.491462806416562
Northwest,APR20,Apr 20,Irrigated,990004,V. Short Season,38,499,2777.9015926590023,722.3950152267213,124.38956861090601,299.5036388566607,3241.861776183947,14.311535023898532
Northwest,APR20,Apr 20,Rainfed,990001,Long Season,38,499,2176.439827022466,1616.9841022854318,0.0,424.2501845796857,2376.3952642126355,8.414233111864924
Northwest,APR20,Apr 20,Rainfed,990002,Medium Season,38,499,2709.8409450479908,1770.3204123830524,0.0,382.75234679886086,2947.381394367683,8.059372627296264
Northwest,APR20,Apr 20,Rainfed,990003,Short Season,38,499,2251.0725661850015,1250.5707876539848,0.0,335.266269380867,2406.7317793481698,6.467659358589864
Northwest,APR20,Apr 20,Rainfed,990004,V. Short Season,38,499,2181.318637274549,738.9974024928949,0.0,293.48887248180574,2373.990876489822,8.115963760575088
Northwest,MAY01,May 01,Irrigated,990001,Long Season,38,499,7269.136167070985,1287.1467978908518,386.19475793692646,447.1244067081531,7927.752715958231,8.30773325663248
Northwest,MAY01,May 01,Irrigated,990002,Medium Season,38,499,8135.232886826284,1581.9823881827388,294.20683472207577,403.3542347853602,8734.444626094293,6.860330163154903
