region,planting_code,planting_label,cultivar_id,cultivar_label,n_years,n_sites,rainfed_yield_mean_kg_ha,irrigated_yield_mean_kg_ha,irrigation_mean_mm,incremental_benefit_mean_kg_ha,incremental_iwue_mean_kg_m3,gross_irrigation_productivity_mean_kg_m3,yield_gap_mean_percent,rainfed_seasonal_precip_mean_mm
Northwest,MAY20,May 20,990004,V. Short Season,38,499,2373.990876489822,3241.861776183947,154.75951903807615,867.870899694125,0.4729869639454757,2.5038006348267396,27.17680776042594,348.7775551102204
Southcentral,APR01,Apr 01,990001,Long Season,38,507,2840.6788124156546,5453.94664175231,290.921831205232,2613.2678293366553,0.9013944439351897,2.4223735634214605,52.57965045463849,443.42894217792997
Southcentral,APR01,Apr 01,990002,Medium Season,38,507,4292.022371016298,6948.838420014533,217.38814491850925,2656.816048998235,1.114351962238824,4.153718386558921,41.470786945653366,384.1405584968338
Southcentral,APR01,Apr 01,990003,Short Season,38,507,3189.739385445863,4216.835409529742,136.94072459254645,1027.0960240838783,0.6363370076887829,4.169704519091299,25.75739644374063,335.69879580608324
Southcentral,APR01,Apr 01,990004,V. Short Season,38,507,2191.0111076507837,2541.9527146268038,75.82399044949652,350.9416069760199,0.3384974947230008,4.065970129465676,11.964775693612781,288.46024083878336
Southcentral,APR10,Apr 10,990001,Long Season,38,507,2904.3012041939164,5427.109571265442,284.3338004775252,2522.808367071525,0.8769469866944872,2.4912316984941936,51.022435893364985,541.1683276237932
Southcentral,APR10,Apr 10,990002,Medium Season,38,507,4419.292691788643,6897.983494238555,211.647461849891,2478.690802449912,1.0443184493224422,4.383250649368555,38.961208628556626,484.5264715042043
Southcentral,APR10,Apr 10,990003,Short Season,38,507,3339.539811066127,4229.4084397383995,146.69495484272812,889.8686286722724,0.49257316447725197,4.051574741217812,21.7514028099589,439.49024187688156
Southcentral,APR10,Apr 10,990004,V. Short Season,38,507,2300.3809301359906,2475.9095816464237,81.66069760199315,175.52865151043287,0.15272146935385802,3.739283380789251,6.587662494525239,392.6832243330219
Southcentral,APR20,Apr 20,990001,Long Season,38,507,2984.2512197653896,5536.178656700924,286.2426035502959,2551.9274369355344,0.8736295972195082,2.531806086670943,51.032017761720994,561.9843766220284
Southcentral,APR20,Apr 20,990002,Medium Season,38,507,4305.046195370082,6728.80717325859,215.51308003737154,2423.760977888508,1.017195302093025,4.334981806937218,39.77468026228694,502.3035399148759
